ticker,price,exchange,currency
TH,13.65,NASDAQ,USA
LTC,33.22,NYSE,USA
CRNC,33.24,NASDAQ,USA
AHCO,10.39,NASDAQ,USA
RCUS,18.91,NYSE,USA
ATSG,19.13,NASDAQ,USA
PAY,5.30,TSE,CAD
SYBT,46.07,NASDAQ,USA
FBK,29.08,NYSE,USA
HPP,4.75,NYSE,USA
PLYA,9.07,NASDAQ,USA
NSSC,36.30,NASDAQ,USA
RYI,40.83,NYSE,USA
MCRI,70.86,NASDAQ,USA
LADR,10.73,NYSE,USA
FBNC,32.40,NASDAQ,USA
UTZ,16.39,NYSE,USA
SCHL,39.36,NASDAQ,USA
INDI,8.86,NASDAQ,USA
PCT,9.85,NASDAQ,USA
TA,12.70,TSE,CAD
CARS,27.79,TSE,CAD
OPK,1.63,NASDAQ,USA
MDRX,11.69,NASDAQ,USA
HTLD,16.05,NASDAQ,USA
OEC,20.85,NYSE,USA
MEG,20.69,TSE,CAD
GDEN,43.24,NASDAQ,USA
IBRX,2.85,NASDAQ,USA
ECVT,10.61,NYSE,USA
TCBK,35.50,NASDAQ,USA
BFS,35.85,NYSE,USA
CTIC,9.10,NASDAQ,USA
AVNS,25.61,NYSE,USA
DSGR,52.94,NASDAQ,USA
ECPG,51.07,NASDAQ,USA
GEL,9.75,NYSE,USA
RDFN,10.15,NASDAQ,USA
KROS,39.69,NASDAQ,USA
MFA,11.38,NYSE,USA
ATUS,2.30,NYSE,USA
PTLO,20.72,NASDAQ,USA
MBIN,25.77,NASDAQ,USA
KALU,71.06,NASDAQ,USA
INFN,4.70,NASDAQ,USA
SABR,3.18,NASDAQ,USA
WABC,40.57,NASDAQ,USA
EVBG,26.53,NASDAQ,USA
XMTR,22.41,NASDAQ,USA
LC,9.77,NYSE,USA
HAIN,12.25,NASDAQ,USA
CRNX,19.70,NASDAQ,USA
MIRM,28.60,NASDAQ,USA
ICHR,36.37,NASDAQ,USA
OFLX,105.40,NASDAQ,USA
SAFT,71.13,NASDAQ,USA
OM,21.70,NASDAQ,USA
NIC,70.44,NYSE,USA
ANIP,52.12,NASDAQ,USA
VBTX,19.01,NASDAQ,USA
HCSG,14.41,NASDAQ,USA
IRON,53.34,NASDAQ,USA
AVID,23.99,NASDAQ,USA
TWST,17.84,NASDAQ,USA
COMM,27.11,TSE,CAD
SAVA,25.21,NASDAQ,USA
HWKN,49.32,NASDAQ,USA
WT,7.00,NYSE,USA
COGT,12.05,NASDAQ,USA
ATRI,571.01,NASDAQ,USA
CDMO,15.57,NASDAQ,USA
BGS,14.11,NYSE,USA
CET,0.61,TSE,CAD
SHEN,19.71,NASDAQ,USA
ACCD,13.17,NASDAQ,USA
FCEL,2.33,NASDAQ,USA
BHLB,21.65,NYSE,USA
KRUS,88.96,NASDAQ,USA
ASIX,35.48,NYSE,USA
TTGT,31.85,NASDAQ,USA
CLNE,4.48,NASDAQ,USA
PEBO,27.11,NASDAQ,USA
APOG,43.58,NASDAQ,USA
INNV,7.07,NASDAQ,USA
SKWD,25.71,NASDAQ,USA
SPH,14.80,NYSE,USA
PRAA,24.23,NASDAQ,USA
OSTK,21.18,NASDAQ,USA
GEO,7.39,NYSE,USA
VREX,23.04,NASDAQ,USA
PACW,7.64,NASDAQ,USA
RGR,52.13,NYSE,USA
ROVR,4.90,NASDAQ,USA
GNLX,38.00,NASDAQ,USA
MED,84.93,NYSE,USA
BFC,86.75,NASDAQ,USA
APPS,8.53,NASDAQ,USA
CHCT,33.03,NYSE,USA
HCCI,36.78,NASDAQ,USA
QTRX,23.27,NASDAQ,USA
