ticker,ex_dividend_date,payment_date,amount
CHW,2017-07-27,2017-08-15,$0.07
CHW,2017-06-28,2017-07-17,$0.07
CHW,2017-05-29,2017-06-15,$0.07
CHW,2017-04-26,2017-05-15,$0.07
CHW,2017-03-29,2017-04-17,$0.07
CHW,2017-02-24,2017-03-15,$0.07
CHW,2017-01-27,2017-02-15,$0.07
CHW,2016-12-28,2017-01-16,$0.07
CHW,2016-11-28,2016-12-15,$0.07
CHW,2016-10-27,2016-11-15,$0.065
CHW,2016-09-28,2016-10-17,$0.065
CHW,2016-08-29,2016-09-15,$0.065
CHW,2016-07-27,2016-08-15,$0.065
CHW,2016-06-28,2016-07-15,$0.065
CHW,2016-05-27,2016-06-15,$0.065
CHW,2016-04-27,2016-05-16,$0.065
CHW,2016-03-29,2016-04-15,$0.065
CHW,2016-02-25,2016-03-15,$0.065
CHW,2016-02-25,2016-03-15,$0.50
CHW,2016-01-27,2016-02-16,$0.065
CHW,2015-12-29,2016-01-15,$0.065
CHW,2015-11-26,2015-12-15,$0.065
CHW,2015-10-28,2015-11-16,$0.065
CHW,2015-09-28,2015-10-15,$0.065
CHW,2015-08-27,2015-09-15,$0.065
CHW,2015-07-29,2015-08-17,$0.065
CHW,2015-06-26,2015-07-15,$0.065
CHW,2015-05-27,2015-06-15,$0.065
CHW,2015-04-28,2015-05-15,$0.065
CHW,2015-03-27,2015-04-15,$0.065
CHW,2015-02-25,2015-03-16,$0.065
CHW,2015-01-28,2015-02-17,$0.065
CHW,2014-12-29,2015-01-15,$0.065
CHW,2014-11-26,2014-12-15,$0.065
CHW,2014-10-29,2014-11-17,$0.065
CHW,2014-09-26,2014-10-15,$0.065
CHW,2014-08-27,2014-09-15,$0.065
CHW,2014-07-29,2014-08-15,$0.065
CHW,2014-06-26,2014-07-15,$0.065
CHW,2014-05-28,2014-06-16,$0.065
CHW,2014-04-28,2014-05-15,$0.065
CHW,2014-03-27,2014-04-15,$0.065
CHW,2014-02-26,2014-03-17,$0.065
CHW,2014-01-29,2014-02-18,$0.065
CHW,2013-12-27,2014-01-15,$0.065
CHW,2013-11-27,2013-12-16,$0.065
CHW,2013-10-29,2013-11-15,$0.06
CHW,2013-09-26,2013-10-15,$0.06
CHW,2013-08-28,2013-09-16,$0.06
CHW,2013-07-29,2013-08-15,$0.06
CHW,2013-06-26,2013-07-15,$0.06
CHW,2013-05-29,2013-06-17,$0.06
CHW,2013-04-26,2013-05-15,$0.06
CHW,2013-03-26,2013-04-15,$0.06
CHW,2013-02-26,2013-03-15,$0.06
CHW,2013-01-29,2013-02-15,$0.055
CHW,2012-12-27,2013-01-15,$0.055
CHW,2012-11-28,2012-12-17,$0.055
CHW,2012-10-29,2012-11-15,$0.055
CHW,2012-09-26,2012-10-15,$0.055
CHW,2012-08-29,2012-09-17,$0.055
CHW,2012-07-27,2012-08-15,$0.055
CHW,2012-06-27,2012-07-16,$0.055
CHW,2012-05-29,2012-06-15,$0.055
CHW,2012-04-26,2012-05-15,$0.05
CHW,2012-03-28,2012-04-16,$0.05
CHW,2012-02-27,2012-03-15,$0.05
CHW,2012-01-27,2012-02-15,$0.05
CHW,2011-12-28,2012-01-16,$0.05
CHW,2011-11-28,2011-12-15,$0.05
CHW,2011-10-27,2011-11-15,$0.05
CHW,2011-09-28,2011-10-17,$0.05
CHW,2011-08-29,2011-09-15,$0.05
CHW,2011-07-27,2011-08-15,$0.05
CHW,2011-06-28,2011-07-15,$0.05
CHW,2011-05-27,2011-06-15,$0.05
CHW,2011-04-27,2011-05-16,$0.05
CHW,2011-03-29,2011-04-15,$0.05
CHW,2011-02-24,2011-03-15,$0.05
CHW,2011-01-27,2011-02-15,$0.05
CHW,2010-12-29,2011-01-14,$0.045
CHW,2010-11-26,2010-12-15,$0.045
CHW,2010-10-27,2010-11-15,$0.045
CHW,2010-09-28,2010-10-15,$0.04
CHW,2010-08-27,2010-09-15,$0.04
CHW,2010-07-28,2010-08-16,$0.04
CHW,2010-06-28,2010-07-15,$0.035
CHW,2010-05-27,2010-06-15,$0.035
CHW,2010-04-28,2010-05-14,$0.035
CHW,2010-03-29,2010-04-15,$0.035
CHW,2010-02-24,2010-03-15,$0.035
CHW,2010-01-27,2010-02-15,$0.035
CHW,2009-12-29,2010-01-15,$0.03
CHW,2009-11-26,2009-12-15,$0.03
CHW,2009-10-28,2009-11-16,$0.03
CHW,2009-09-28,2009-10-15,$0.03
CHW,2009-08-27,2009-09-15,$0.03
CHW,2009-07-29,2009-08-14,$0.03
CHW,2009-06-26,2009-07-15,$0.025
CHW,2009-05-27,2009-06-15,$0.025
CHW,2009-04-28,2009-05-15,$0.025
CHW,2009-03-27,2009-04-15,$0.025
CHW,2009-02-25,2009-03-16,$0.025
CHW,2009-01-28,2009-02-16,$0.025
CHW,2008-12-29,2009-01-15,$0.025
CHW,2008-11-26,2008-12-15,$0.025
CHW,2008-10-29,2008-11-14,$0.025
CHW,2008-09-26,2008-10-15,$0.025
CHW,2008-08-27,2008-09-15,$0.025
CHW,2008-07-29,2008-08-15,$0.057
CHW,2008-06-26,2008-07-15,$0.057
CHW,2008-05-28,2008-06-16,$0.057
CHW,2008-04-28,2008-05-15,$0.057
CHW,2008-03-27,2008-04-15,$0.057
CHW,2008-02-27,2008-03-14,$0.057
CHW,2008-01-29,2008-02-15,$0.057
CHW,2007-12-27,2008-01-15,$0.057
CHW,2007-11-28,2007-12-14,$0.057
CHW,2007-10-29,2007-11-15,$0.096
CHW,2007-09-26,2007-10-15,$0.096
CHW,2007-08-29,2007-09-14,$0.096
CHW,2007-07-27,2007-08-15,$0.096
CHW,2007-06-27,2007-07-16,$0.096
CHW,2007-05-29,2007-06-15,$0.096
CHW,2007-04-26,2007-05-15,$0.096
CHW,2007-03-28,2007-04-16,$0.096
CHW,2007-02-26,2007-03-15,$0.096
CHW,2007-01-29,2007-02-15,$0.096
CHW,2006-12-27,2007-01-15,$0.096
CHW,2006-11-28,2006-12-15,$0.096
CHW,2006-10-27,2006-11-15,$0.096
CHW,2006-09-27,2006-10-16,$0.096
CHW,2006-08-29,2006-09-15,$0.096
CHW,2006-07-27,2006-08-15,$0.096
CHW,2006-06-28,2006-07-14,$0.096
SJ,2023-11-30,2023-12-16,$0.23**
SJ,2023-09-02,2023-09-23,$0.23**
SJ,2023-06-02,2023-06-23,$0.23
SJ,2023-03-31,2023-04-21,$0.23
SJ,2022-11-30,2022-12-16,$0.20
SJ,2022-09-02,2022-09-23,$0.20
SJ,2022-05-31,2022-06-22,$0.20
SJ,2022-04-01,2022-04-22,$0.20
SJ,2021-11-30,2021-12-17,$0.18
SJ,2021-08-31,2021-09-17,$0.18
SJ,2021-05-31,2021-06-22,$0.18
SJ,2021-04-01,2021-04-24,$0.18
SJ,2020-11-30,2020-12-17,$0.15
SJ,2020-08-31,2020-09-18,$0.15
SJ,2020-06-04,2020-06-26,$0.15
SJ,2020-04-02,2020-04-24,$0.15
SJ,2019-11-29,2019-12-19,$0.14
SJ,2019-08-29,2019-09-20,$0.14
SJ,2019-06-05,2019-06-27,$0.14
SJ,2019-04-04,2019-04-26,$0.14
SJ,2018-11-30,2018-12-20,$0.12
SJ,2018-08-30,2018-09-21,$0.12
SJ,2018-06-05,2018-06-27,$0.12
SJ,2018-04-05,2018-04-27,$0.12
SJ,2017-12-01,2017-12-21,$0.11
SJ,2017-08-30,2017-09-22,$0.11
SJ,2017-06-01,2017-06-27,$0.11
SJ,2017-03-30,2017-04-28,$0.11
SJ,2016-11-30,2016-12-21,$0.10
SJ,2016-08-31,2016-09-23,$0.10
SJ,2016-06-02,2016-06-28,$0.10
SJ,2016-03-30,2016-04-29,$0.10
SJ,2015-11-30,2015-12-21,$0.08
SJ,2015-09-02,2015-09-25,$0.08
SJ,2015-05-29,2015-06-26,$0.08
SJ,2015-03-31,2015-04-30,$0.08
SJ,2014-11-28,2014-12-18,$0.07
SJ,2014-08-28,2014-09-26,$0.07
SJ,2014-05-29,2014-06-27,$0.07
SJ,2014-03-31,2014-04-30,$0.07
SJ,2013-11-28,2013-12-20,$0.05
SJ,2013-08-28,2013-09-30,$0.05
SJ,2013-05-30,2013-06-28,$0.05
SJ,2013-03-28,2013-04-30,$0.05
SJ,2012-11-29,2012-12-20,$0.04
SJ,2012-08-30,2012-09-28,$0.04
SJ,2012-05-30,2012-06-29,$0.0375
SJ,2012-03-29,2012-04-30,$0.0375
SJ,2011-08-31,2011-10-07,$0.065
SJ,2011-03-30,2011-05-13,$0.06
SJ,2010-09-01,2010-10-08,$0.05
SJ,2010-03-30,2010-05-14,$0.045
SJ,2009-09-02,2009-10-09,$0.045
SJ,2009-04-01,2009-05-15,$0.045
SJ,2008-09-03,2008-10-10,$0.045
SJ,2008-04-02,2008-05-16,$0.04
SJ,2007-09-05,2007-10-12,$0.035
SJ,2007-04-02,2007-05-09,$0.025
SJ,2006-09-06,2006-10-13,$0.02
SJ,2006-03-31,2006-05-08,$0.015
SJ,2005-09-07,2005-10-14,$0.0125
SJ,2005-03-31,2005-05-09,$0.0125
SJ,2004-09-03,2004-10-11,$0.005
SJ,2004-03-31,2004-05-07,$0.005
SJ,2003-09-04,2003-10-10,$0.005
MG,2023-11-17,2023-12-02,$0.46**
MG,2023-08-11,2023-08-26,$0.46**
MG,2023-05-18,2023-06-02,$0.46
MG,2023-02-23,2023-03-10,$0.46
MG,2022-11-17,2022-12-02,$0.45
MG,2022-08-11,2022-08-26,$0.45
MG,2022-05-12,2022-05-27,$0.45
MG,2022-02-24,2022-03-11,$0.45
MG,2021-11-18,2021-12-03,$0.43
MG,2021-08-19,2021-09-03,$0.43
MG,2021-05-20,2021-06-04,$0.43
MG,2021-03-04,2021-03-19,$0.43
MG,2020-11-19,2020-12-04,$0.40
MG,2020-08-20,2020-09-04,$0.40
MG,2020-05-21,2020-06-05,$0.40
MG,2020-03-05,2020-03-20,$0.40
MG,2019-11-21,2019-12-06,$0.365
MG,2019-08-22,2019-09-06,$0.365
MG,2019-05-23,2019-06-07,$0.365
MG,2019-03-07,2019-03-22,$0.365
MG,2018-11-22,2018-12-07,$0.33
MG,2018-08-30,2018-09-14,$0.33
MG,2018-05-24,2018-06-08,$0.33
MG,2018-03-08,2018-03-23,$0.33
MG,2017-11-23,2017-12-08,$0.275
MG,2017-08-30,2017-09-15,$0.275
MG,2017-05-24,2017-06-09,$0.275
MG,2017-03-08,2017-03-24,$0.275
MG,2016-11-22,2016-12-09,$0.25
MG,2016-08-24,2016-09-09,$0.25
MG,2016-05-25,2016-06-10,$0.25
MG,2016-03-09,2016-03-24,$0.25
MG,2015-11-24,2015-12-11,$0.22
MG,2015-08-26,2015-09-11,$0.22
MG,2015-05-27,2015-06-12,$0.22
MG,2015-03-11,2015-03-27,$0.22
MG,2014-11-26,2014-12-12,$0.19
MG,2014-08-27,2014-09-12,$0.19
MG,2014-05-28,2014-06-13,$0.19
MG,2014-03-12,2014-03-28,$0.19
MG,2013-11-27,2013-12-13,$0.16
MG,2013-08-28,2013-09-16,$0.16
MG,2013-05-29,2013-06-17,$0.16
MG,2013-03-11,2013-03-27,$0.16
MG,2012-11-28,2012-12-14,$0.1375
MG,2012-08-29,2012-09-14,$0.1375
MG,2012-05-29,2012-06-15,$0.1375
MG,2012-03-08,2012-03-23,$0.1375
MG,2011-11-28,2011-12-15,$0.125
MG,2011-08-29,2011-09-15,$0.125
MG,2011-05-27,2011-06-15,$0.125
MG,2011-03-09,2011-03-23,$0.125
MG,2010-11-26,2010-12-15,$0.09
MG,2010-08-27,2010-09-15,$0.075
MG,2010-05-27,2010-06-15,$0.045
MG,2009-03-10,2009-03-23,$0.045
MG,2008-11-26,2008-12-15,$0.045
MG,2008-08-27,2008-09-15,$0.09
MG,2008-05-28,2008-06-16,$0.09
MG,2008-03-06,2008-03-19,$0.09
MG,2007-11-28,2007-12-14,$0.101
MG,2007-08-29,2007-09-14,$0.101
MG,2007-05-29,2007-06-15,$0.06725
MG,2007-03-09,2007-03-15,$0.05325
MG,2006-11-28,2006-12-15,$0.10675
MG,2006-08-29,2006-09-15,$0.10675
MG,2006-03-08,2006-03-15,$0.108
MG,2005-11-28,2005-12-15,$0.11275
MG,2005-08-29,2005-09-15,$0.11425
MG,2005-05-25,2005-06-15,$0.1185
MG,2005-03-09,2005-03-15,$0.11775
HBA,2023-09-28,2023-10-13,$0.31**
HBA,2023-06-29,2023-07-13,$0.31**
HBA,2023-03-30,2023-04-13,$0.31
HBA,2022-12-29,2023-01-12,$0.601
HBA,2022-09-28,2022-10-13,$0.31
HBA,2022-06-29,2022-07-13,$0.31
HBA,2022-03-30,2022-04-12,$0.30
HBA,2021-12-30,2022-01-13,$0.30
HBA,2021-09-28,2021-10-13,$0.30
HBA,2021-06-29,2021-07-13,$0.50
HBA,2021-03-30,2021-04-13,$0.26
HBA,2020-12-30,2021-01-13,$0.26
HBA,2020-09-29,2020-10-13,$0.24
NTR,2023-12-29,2024-01-13,$0.53**
NTR,2023-09-29,2023-10-14,$0.53**
NTR,2023-06-29,2023-07-14,$0.53
NTR,2023-03-30,2023-04-13,$0.53
NTR,2022-12-29,2023-01-13,$0.48
NTR,2022-09-29,2022-10-14,$0.48
NTR,2022-06-29,2022-07-15,$0.48
NTR,2022-03-30,2022-04-14,$0.48
NTR,2021-12-30,2022-01-14,$0.46
NTR,2021-09-29,2021-10-15,$0.46
NTR,2021-06-29,2021-07-16,$0.46
NTR,2021-03-30,2021-04-15,$0.46
NTR,2020-12-30,2021-01-14,$0.45
NTR,2020-09-29,2020-10-16,$0.45
NTR,2020-06-29,2020-07-17,$0.45
NTR,2020-03-30,2020-04-16,$0.45
NTR,2019-12-30,2020-01-16,$0.45
NTR,2019-09-27,2019-10-17,$0.45
NTR,2019-06-27,2019-07-18,$0.43
NTR,2019-03-28,2019-04-18,$0.43
NTR,2018-12-28,2019-01-17,$0.43
NTR,2018-09-27,2018-10-19,$0.40
NTR,2018-06-28,2018-07-18,$0.40
NTR,2018-03-28,2018-04-20,$0.40
NTR,2017-12-28,2018-02-01,$0.25
NTR,2017-09-28,2017-11-01,$0.25
NTR,2017-06-28,2017-08-01,$0.25
NTR,2017-03-29,2017-05-02,$0.25
NTR,2017-01-10,2017-02-02,$0.25
NTR,2016-10-07,2016-11-02,$0.25
NTR,2016-07-08,2016-08-02,$0.625
NTR,2016-04-08,2016-05-03,$0.625
NTR,2016-01-12,2016-02-04,$0.95
NTR,2015-10-08,2015-11-03,$0.95
NTR,2015-07-08,2015-07-31,$0.95
NTR,2015-04-09,2015-05-04,$0.95
NTR,2015-01-13,2015-02-05,$0.875
NTR,2014-10-09,2014-11-04,$0.875
NTR,2014-07-09,2014-08-01,$0.875
NTR,2014-04-08,2014-05-01,$0.875
NTR,2014-01-14,2014-02-06,$0.875
NTR,2013-10-10,2013-11-05,$0.875
NTR,2013-07-10,2013-08-02,$0.875
TA,2023-11-30,2024-01-01,$0.055**
TA,2023-08-31,2023-10-01,$0.055**
TA,2023-05-31,2023-07-01,$0.055
TA,2023-02-28,2023-04-01,$0.055
TA,2022-11-30,2023-01-01,$0.055
TA,2022-08-31,2022-10-01,$0.05
TA,2022-05-31,2022-07-01,$0.05
TA,2022-02-28,2022-04-01,$0.05
TA,2021-11-30,2022-01-01,$0.05
TA,2021-08-31,2021-10-01,$0.045
TA,2021-05-31,2021-07-01,$0.045
TA,2021-02-26,2021-04-01,$0.045
TA,2020-11-30,2021-01-01,$0.0425
TA,2020-08-31,2020-10-01,$0.0425
TA,2020-05-29,2020-07-01,$0.0425
TA,2020-02-28,2020-04-01,$0.0425
TA,2019-11-29,2020-01-01,$0.04
TA,2019-08-30,2019-10-01,$0.04
TA,2019-05-31,2019-07-01,$0.04
TA,2019-02-28,2019-04-01,$0.04
TA,2018-11-30,2019-01-01,$0.04
TA,2018-08-31,2018-10-01,$0.04
TA,2018-05-31,2018-07-03,$0.04
TA,2018-02-28,2018-04-01,$0.04
TA,2017-11-30,2018-01-01,$0.04
TA,2017-08-30,2017-10-01,$0.04
TA,2017-05-30,2017-07-01,$0.04
TA,2017-02-27,2017-04-01,$0.04
TA,2016-11-29,2017-01-01,$0.04
TA,2016-08-30,2016-10-01,$0.04
TA,2016-05-30,2016-07-01,$0.04
TA,2016-02-26,2016-04-01,$0.04
TA,2015-11-27,2016-01-01,$0.18
TA,2015-08-28,2015-10-01,$0.18
TA,2015-05-28,2015-07-01,$0.18
TA,2015-02-26,2015-04-01,$0.18
TA,2014-11-26,2015-01-01,$0.18
TA,2014-08-27,2014-10-01,$0.18
TA,2014-05-28,2014-07-01,$0.18
TA,2014-02-28,2014-04-01,$0.18
TA,2013-11-27,2014-01-01,$0.29
TA,2013-08-28,2013-10-01,$0.29
TA,2013-05-29,2013-07-01,$0.29
TA,2013-02-27,2013-04-01,$0.29
TA,2012-11-28,2013-01-01,$0.29
TA,2012-08-29,2012-10-01,$0.29
TA,2012-05-30,2012-07-01,$0.29
TA,2012-02-28,2012-04-01,$0.29
TA,2011-11-29,2012-01-01,$0.29
TA,2011-08-30,2011-10-01,$0.29
TA,2011-05-30,2011-07-01,$0.29
TA,2011-02-25,2011-04-01,$0.29
TA,2010-11-29,2011-01-01,$0.29
TA,2010-08-30,2010-10-01,$0.29
TA,2010-05-28,2010-07-01,$0.29
CP,2023-12-29,2024-01-30,$0.19**
CP,2023-09-29,2023-10-31,$0.19**
CP,2023-06-29,2023-07-31,$0.19
CP,2023-03-30,2023-04-24,$0.19
CP,2022-12-29,2023-01-30,$0.19
CP,2022-09-29,2022-10-31,$0.19
CP,2022-06-23,2022-07-25,$0.19
CP,2022-03-24,2022-04-25,$0.19
