"Rank","Name","Symbol","marketcap","price (USD)","country"
"186","NorthWest Healthcare Properties REIT","NWH-UN.TO","1421273618","5.82","Canada"
"187","Peyto Exploration &amp; Development","PEY.TO","1419457129","8.12","Canada"
"188","InterRent Real Estate Investment Trust","IIP-UN.TO","1391747691","9.54","Canada"
"189","Equinox Gold","EQX","1391213824","4.41","Canada"
"190","Ivanhoe Electric","IE","1386319872","14.91","Canada"
"191","Andlauer Healthcare Group","AND.TO","1384983250","33.04","Canada"
"192","goeasy","GSY.TO","1379731210","83.43","Canada"
"193","Aurinia Pharmaceuticals","AUPH","1368835328","9.57","Canada"
"194","Enghouse Systems","ENGH.TO","1361990331","24.64","Canada"
"195","Secure Energy Services","SES.TO","1361600315","4.58","Canada"
"196","Ballard Power Systems","BLDP","1353043072","4.53","Canada"
"197","Trisura Group","TSU.TO","1330933402","29.04","Canada"
"198","Hudbay Minerals","HBM","1327030528","4.99","Canada"
"199","Centerra Gold","CGAU","1323788416","6.05","Canada"
"200","Tamarack Valley Energy","TVE.TO","1318987252","2.37","Canada"
"201","Docebo","DCBO","1293928320","38.05","Canada"
"202","Iamgold","IAG","1284083072","2.67","Canada"
"203","Teekay Tankers","TNK","1276858368","37.6","Canada"
"204","Cargojet","CJT.TO","1269124117","73.75","Canada"
"205","Dundee Precious Metals","DPM.TO","1267454876","6.72","Canada"
"206","Orla Mining","ORLA","1259797248","3.95","Canada"
"207","Patriot Battery Metals","PMET.V","1247476298","12.68","Canada"
"208","The North West Company","NWC.TO","1174607553","24.56","Canada"
"209","MAG Silver","MAG","1160644352","11.28","Canada"
"210","Headwater Exploration","HWX.TO","1116092672","4.74","Canada"
"211","International Petroleum","IPCO.TO","1095873845","8.38","Canada"
"212","Laurentian Bank of Canada","LB.TO","1082619989","24.9","Canada"
"213","MTY Food Group","MTY.TO","1072028529","43.91","Canada"
"214","Mullen Group","MTL.TO","1048901246","11.55","Canada"
"215","Denison Mines","DNN","1044686208","1.25","Canada"
"216","K92 Mining","KNT.TO","1044223671","4.47","Canada"
"217","Cymbria","CYB.TO","1024679767","45.11","Canada"
"218","Tilray","TLRY","1017587392","1.55","Canada"
"219","Seabridge Gold","SA","1009384128","12.25","Canada"
"220","Li-Cycle","LICY","994706240","5.62","Canada"
"221","dentalcorp","DNTL.TO","993475105","5.31","Canada"
"222","Advantage Energy","AAV.TO","976471632","5.91","Canada"
"223","Transcontinental","TCL-A.TO","965782136","11.13","Canada"
"224","Africa Oil","AOI.TO","965720039","2.09","Canada"
"225","Jamieson Wellness","JWEL.TO","952671169","22.74","Canada"
"226","Imax Corp","IMAX","949318336","17.39","Canada"
"227","Osisko Mining","OSK.TO","941851086","2.45","Canada"
"228","Clairvest Group","CVG.TO","916484166","61","Canada"
"229","Fortuna Silver Mines","FSM","910463872","3.13","Canada"
"230","Interfor","IFP.TO","907132309","17.63","Canada"
"231","SilverCrest Metals","SILV","889555776","5.88","Canada"
"232","Morguard","MRC.TO","856875865","77.74","Canada"
"233","SunOpta","STKL","826407168","7.16","Canada"
"234","New Found Gold","NFGC","822701888","4.68","Canada"
"235","Sprott Inc","SII","816490944","32.24","Canada"
"236","Standard Lithium","SLI","812680000","4.4","Canada"
"237","Cardinal Energy","CJ.TO","783682785","4.99","Canada"
"238","Algoma Steel","ASTL","773652928","7.47","Canada"
"239","Wesdome Gold Mines","WDO.TO","753652094","5.11","Canada"
"240","Enerflex","EFXT","753570560","6.09","Canada"
"241","Softchoice","SFTC.TO","744541552","12.84","Canada"
"242","New Gold","NGD","730917056","1.07","Canada"
"243","Badger Infrastructure Solutions","BDGI.TO","653828321","18.97","Canada"
"244","Cronos Group","CRON","651195392","1.71","Canada"
"245","Precision Drilling Corporation","PDS","631751680","46.04","Canada"
"246","TerrAscend","TRSSF","613308224","1.74","Canada"
"247","Absolute Software","ABST","603445440","11.36","Canada"
"248","Artis REIT","AX-UN.TO","595890859","5.35","Canada"
"249","Mercer International","MERC","582601664","8.77","Canada"
"250","Teekay","TK","571876032","5.99","Canada"
"251","Hut 8 Mining","HUT","568084480","2.56","Canada"
"252","ECN Capital","ECN.TO","556181167","2.26","Canada"
"253","Zymeworks","ZYME","537755520","8.38","Canada"
"254","Endeavour Silver","EXK","537485568","2.81","Canada"
"255","Repare Therapeutics","RPTX","527367648","12.53","Canada"
"256","North American Construction Group","NOA","525774560","19.64","Canada"
"257","Converge Technology Solutions","CTS.TO","520737819","2.49","Canada"
"258","Silvercorp Metals","SVM","495890944","2.77","Canada"
"259","Obsidian Energy","OBE","471982336","5.72","Canada"
"260","TMC the metals company","TMC","465862400","1.66","Canada"
"261","Lion Electric","LEV","443968032","1.91","Canada"
"262","Skeena Resources","SKE","434652448","4.93","Canada"
"263","Telesat","TSAT","433591968","8.9","Canada"
"264","Taseko Mines","TGB","401871680","1.37","Canada"
"265","enCore Energy","EU","375999008","2.6","Canada"
"266","Pizza Pizza","PZA.TO","366132215","11.32","Canada"
"267","Sundial Growers","SNDL","358800000","1.38","Canada"
"268","Fission Uranium","FCU.TO","355050063","0.48","Canada"
"269","Tucows","TCX","334473632","30.88","Canada"
"270","McEwen Mining","MUX","328673248","6.93","Canada"
"271","Bitfarms","BITF","327932864","1.34","Canada"
"272","The Real Brokerage","REAX","327838432","1.82","Canada"
"273","Canopy Growth","CGC","321118592","0.603","Canada"
"274","New Pacific Metals","NEWP","317469440","2.01","Canada"
"275","HIVE Blockchain Technologies","HIVE","317091584","3.6","Canada"
"276","Corby Spirit and Wine","CSW-A.TO","297436646","10.52","Canada"
"277","Arizona Metals","AMC.TO","288941327","2.49","Canada"
"278","Largo","LGO","282650752","4.34","Canada"
"279","Western Copper and Gold","WRN","257306528","1.59","Canada"
"280","IsoEnergy","ISO.V","253664167","2.29","Canada"
"281","Gold Royalty Corp","GROY","251388240","1.74","Canada"
"282","Vizsla Silver","VZLA","247212992","1.19","Canada"
"283","D-Wave Quantum","QBTS","236543648","1.86","Canada"
"284","Kingsway Financial Services","KFS","232706704","8.83","Canada"
"285","City Office REIT","CIO","217265440","5.44","Canada"
"286","Marathon Gold","MOZ.TO","212731316","0.54","Canada"
"287","Uranium Royalty","UROY","212379936","2.11","Canada"
"288","Tidewater Renewables","LCFS.TO","209178185","6.02","Canada"
"289","Velan","VLN.TO","209108968","9.69","Canada"
"290","VersaBank","VBNK","206385968","7.95","Canada"
"291","Nouveau Monde Graphite","NMG","201387808","3.26","Canada"
"292","Aurora Cannabis","ACB","198355376","0.56","Canada"
"293","EMX Royalty","EMX","196139008","1.77","Canada"
"294","Gran Tierra Energy","GTE","193878720","5.23","Canada"
"295","ReconAfrica","0XD.F","187304099","0.93","Canada"
"296","Alithya Group","ALYA","166605392","1.675","Canada"
"297","PolyMet","PLM","164318464","0.8226","Canada"
"298","Zentek","ZTEK","161340480","1.59","Canada"
"299","Loop Industries","LOOP","152780656","3.215","Canada"
"300","Sangoma Technologies","SANG","144376400","4","Canada"
"301","Platinum Group Metals","PLG","143294576","1.43","Canada"
"302","Westport Fuel Systems","WPRT","138430512","8.06","Canada"
"303","Andrew Peller","ADW-A.TO","138428190","3.09","Canada"
"304","ESSA Pharma","EPIX","138009216","3.13","Canada"
"305","PyroGenesis Canada","PYR","135720800","0.76","Canada"
"306","Sylogist","SYZ.TO","134301818","5.68","Canada"
"307","OrganiGram Holdings","OGI","129058936","0.411","Canada"
"308","Tanzanian Gold Corporation","TRX","125341200","0.45","Canada"
"309","Oncolytics Biotech","ONCY","123955560","1.91","Canada"
"310","E INC (E Automotive)","EINC.TO","123464334","2.33","Canada"
"311","Achieve Life Sciences","ACHV","120563784","5.73","Canada"
"312","Northern Dynasty Minerals","NAK","118299648","0.2233","Canada"
"313","Vox Royalty","VOXR","115623352","2.3801","Canada"
"314","Milestone Pharmaceuticals","MIST","114750488","3.44","Canada"
"315","A2Z Smart Technologies","AZ","107421128","2.93","Canada"
"316","Meta Materials","MMAT","98113264","0.21","Canada"
"317","Electra Meccanica","SOLO","96038768","0.8051","Canada"
"318","illumin","ILLM","95372112","1.69","Canada"
"319","High Tide","HITI","93890752","1.25","Canada"
"320","Theratechnologies","THTX","90573392","0.9313","Canada"
"321","Trilogy Metals","TMQ","89790560","0.5799","Canada"
"322","Neovasc","NVCN","83590008","30.03","Canada"
"323","Avino Silver &amp; Gold Mines","ASM","82239768","0.667","Canada"
"324","Americas Gold and Silver Corp","USAS","81378640","0.3849","Canada"
"325","Village Farms International","VFF","75513712","0.685","Canada"
"326","GreenPower Motor Company","GP","70644872","2.74","Canada"
"327","Bragg Gaming Group","BRAG","68556600","3.15","Canada"
"328","Laramide Resources","LAM.TO","68246430","0.3","Canada"
"329","Forsys Metals","FSY.TO","64992326","0.33","Canada"
"330","Draganfly","DPRO","61580064","1.33","Canada"
